person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file
59000,RENT,,PERSONAL,D,35000,16.02,1,0.59,Y
9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N
9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N
65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N
54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y
9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N
77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N
78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N
83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N
10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N
85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N
10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N
95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N
108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N
115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N
500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N
120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N
92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N
113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N
10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N
162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N
137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y
65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N
10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N
80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y
67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N
11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y
11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N
65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N
11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y
11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N
